From,To,Intensity,Fuel,Value
2021-08-14T23:30Z,2021-08-15T00:00Z,111,biomass,0.0
2021-08-15T00:00Z,2021-08-15T00:30Z,118,biomass,0.0
2021-08-15T00:30Z,2021-08-15T01:00Z,119,biomass,0.0
2021-08-15T01:00Z,2021-08-15T01:30Z,114,biomass,0.0
2021-08-15T01:30Z,2021-08-15T02:00Z,106,biomass,0.0
2021-08-15T02:00Z,2021-08-15T02:30Z,109,biomass,0.0
2021-08-15T02:30Z,2021-08-15T03:00Z,107,biomass,0.0
2021-08-15T03:00Z,2021-08-15T03:30Z,106,biomass,0.0
2021-08-15T03:30Z,2021-08-15T04:00Z,100,biomass,0.0
2021-08-15T04:00Z,2021-08-15T04:30Z,93,biomass,0.0
2021-08-15T04:30Z,2021-08-15T05:00Z,84,biomass,0.0
2021-08-15T05:00Z,2021-08-15T05:30Z,83,biomass,0.0
2021-08-15T05:30Z,2021-08-15T06:00Z,85,biomass,0.0
2021-08-15T06:00Z,2021-08-15T06:30Z,90,biomass,0.0
2021-08-15T06:30Z,2021-08-15T07:00Z,97,biomass,0.0
2021-08-15T07:00Z,2021-08-15T07:30Z,100,biomass,0.0
2021-08-15T07:30Z,2021-08-15T08:00Z,105,biomass,0.0
2021-08-15T08:00Z,2021-08-15T08:30Z,99,biomass,0.0
2021-08-15T08:30Z,2021-08-15T09:00Z,95,biomass,0.0
2021-08-15T09:00Z,2021-08-15T09:30Z,98,biomass,0.0
2021-08-15T09:30Z,2021-08-15T10:00Z,98,biomass,0.0
2021-08-15T10:00Z,2021-08-15T10:30Z,96,biomass,0.0
2021-08-15T10:30Z,2021-08-15T11:00Z,96,biomass,0.0
2021-08-15T11:00Z,2021-08-15T11:30Z,102,biomass,0.0
2021-08-15T11:30Z,2021-08-15T12:00Z,102,biomass,0.0
2021-08-15T12:00Z,2021-08-15T12:30Z,101,biomass,0.0
2021-08-15T12:30Z,2021-08-15T13:00Z,99,biomass,0.0
2021-08-15T13:00Z,2021-08-15T13:30Z,100,biomass,0.0
2021-08-15T13:30Z,2021-08-15T14:00Z,93,biomass,0.0
2021-08-15T14:00Z,2021-08-15T14:30Z,95,biomass,0.0
2021-08-15T14:30Z,2021-08-15T15:00Z,94,biomass,0.0
2021-08-15T15:00Z,2021-08-15T15:30Z,93,biomass,0.0
2021-08-15T15:30Z,2021-08-15T16:00Z,98,biomass,0.0
2021-08-15T16:00Z,2021-08-15T16:30Z,98,biomass,0.0
2021-08-15T16:30Z,2021-08-15T17:00Z,91,biomass,0.0
2021-08-15T17:00Z,2021-08-15T17:30Z,98,biomass,0.0
2021-08-15T17:30Z,2021-08-15T18:00Z,97,biomass,0.0
2021-08-15T18:00Z,2021-08-15T18:30Z,90,biomass,0.0
2021-08-15T18:30Z,2021-08-15T19:00Z,91,biomass,0.0
2021-08-15T19:00Z,2021-08-15T19:30Z,94,biomass,0.0
2021-08-15T19:30Z,2021-08-15T20:00Z,89,biomass,0.0
2021-08-15T20:00Z,2021-08-15T20:30Z,75,biomass,0.0
2021-08-15T20:30Z,2021-08-15T21:00Z,59,biomass,0.0
2021-08-15T21:00Z,2021-08-15T21:30Z,53,biomass,0.0
2021-08-15T21:30Z,2021-08-15T22:00Z,39,biomass,0.0
2021-08-15T22:00Z,2021-08-15T22:30Z,37,biomass,0.0
2021-08-15T22:30Z,2021-08-15T23:00Z,45,biomass,0.4
2021-08-15T23:00Z,2021-08-15T23:30Z,61,biomass,0.7
2021-08-15T23:30Z,2021-08-16T00:00Z,60,biomass,1.2
