date,period,price
2021-08-15,1.0,129.9
2021-08-15,2.0,58.29
2021-08-15,3.0,125.0
2021-08-15,4.0,125.0
2021-08-15,5.0,125.0
2021-08-15,6.0,125.0
2021-08-15,7.0,125.0
2021-08-15,8.0,125.0
2021-08-15,9.0,129.0
2021-08-15,10.0,129.0
2021-08-15,11.0,44.0704
2021-08-15,12.0,34.63
2021-08-15,13.0,34.6
2021-08-15,14.0,45.18
2021-08-15,15.0,120.0
2021-08-15,16.0,130.0
2021-08-15,17.0,128.9
2021-08-15,18.0,119.9
2021-08-15,19.0,119.9
2021-08-15,20.0,128.9
2021-08-15,21.0,128.9
2021-08-15,22.0,128.5
2021-08-15,23.0,128.85
2021-08-15,24.0,128.5
2021-08-15,25.0,128.9
2021-08-15,26.0,128.0
2021-08-15,27.0,128.0
2021-08-15,28.0,128.0
2021-08-15,29.0,126.0
2021-08-15,30.0,126.0
2021-08-15,31.0,126.0
2021-08-15,32.0,126.0
2021-08-15,33.0,126.0
2021-08-15,34.0,126.0
2021-08-15,35.0,129.0
2021-08-15,36.0,128.0
2021-08-15,37.0,128.0
2021-08-15,38.0,126.0
2021-08-15,39.0,80.53
2021-08-15,40.0,125.9
2021-08-15,41.0,69.96
2021-08-15,42.0,69.96
2021-08-15,43.0,125.95
2021-08-15,44.0,125.9
2021-08-15,45.0,125.0
2021-08-15,46.0,55.97011
2021-08-15,47.0,65.0
2021-08-15,48.0,34.73
2021-08-16,1.0,27.94
2021-08-16,2.0,27.94
2021-08-16,3.0,26.62
2021-08-16,4.0,10.12
2021-08-16,5.0,0.0
2021-08-16,6.0,-5.55
2021-08-16,7.0,0.0
2021-08-16,8.0,-12.58
2021-08-16,9.0,125.9
2021-08-16,10.0,125.9
2021-08-16,11.0,17.11013
2021-08-16,12.0,21.78
2021-08-16,13.0,125.9
2021-08-16,14.0,130.0
2021-08-16,15.0,140.0
2021-08-16,16.0,125.9
2021-08-16,17.0,63.64
2021-08-16,18.0,63.64
2021-08-16,19.0,130.0
2021-08-16,20.0,125.0
2021-08-16,21.0,128.5
2021-08-16,22.0,138.87
2021-08-16,23.0,144.99
2021-08-16,24.0,145.0
2021-08-16,25.0,145.0
